Zeit;Verbrauch
2019-03-10 00:00:00;0,0
2019-03-10 01:00:00;0,0
2019-03-10 02:00:00;0,0
2019-03-10 03:00:00;0,0
2019-03-10 04:00:00;0,0
2019-03-10 05:00:00;0,0
2019-03-10 06:00:00;0,0
2019-03-10 07:00:00;0,0
2019-03-10 08:00:00;0,0
2019-03-10 09:00:00;0,861
2019-03-10 10:00:00;0,955
2019-03-10 11:00:00;0,923
2019-03-10 12:00:00;0,789
2019-03-10 13:00:00;0,701
2019-03-10 14:00:00;0,727
2019-03-10 15:00:00;0,814
2019-03-10 16:00:00;0,823
2019-03-10 17:00:00;0,742
2019-03-10 18:00:00;0,544
2019-03-10 19:00:00;0,0
2019-03-10 20:00:00;0,0
2019-03-10 21:00:00;0,0
2019-03-10 22:00:00;0,0
2019-03-10 23:00:00;0,0
